trial,starting x,starting y,Average Empire Area (Hexes),Average Empire Area (m^2),Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,-3.683582671115732,40.99009220657706,191.07142857142858,164894642857.14285,28,14,0,1,2,0,4,0,1,1,2,0,1,2
1,43.521048814526125,51.12559122199076,234.17391304347825,202092086956.52173,23,10,1,1,3,1,1,0,0,0,0,2,1,3
2,36.11906269101364,32.08862732926,246.0909090909091,212376454545.45456,22,8,1,0,1,3,3,0,0,0,0,2,2,2
3,22.301975924302063,42.70537696606637,192.21428571428572,165880928571.4286,28,15,1,0,1,2,1,2,0,1,1,0,0,4
4,37.487102723852516,39.70124964672374,256.85714285714283,221667714285.71426,21,6,1,1,1,3,1,1,0,1,2,2,0,2
5,29.853218019891713,30.081364703570372,199.03703703703704,171768962962.96295,27,6,3,1,5,2,1,4,2,2,0,0,1,0
6,6.089413387372356,52.9478435321989,179.5,154908500000.0,30,13,1,1,6,4,1,0,0,0,0,0,0,4
7,23.416472538790682,51.369747312762875,215.44,185924720000.0,25,10,2,0,1,1,3,1,2,2,2,0,0,1
8,42.440356758663015,51.76202658311657,215.28,185786640000.0,25,7,3,2,0,2,2,2,3,1,0,1,1,1
9,23.447268147711576,53.90259808090541,233.7391304347826,201716869565.21738,23,6,2,1,2,0,5,0,2,1,0,2,1,1
10,27.076316266111355,60.99500752530387,233.82608695652175,201791913043.47827,23,6,1,2,2,3,0,1,2,2,0,3,1,0
11,9.268233183622439,47.030423027133324,236.2608695652174,203893130434.78262,23,6,3,0,2,1,3,0,3,0,3,0,1,1
12,16.538585804077066,47.13656407134089,245.0,211435000000.0,22,9,0,1,0,2,1,0,2,3,1,1,1,1
13,40.95546943214224,50.76911810306086,186.0,160518000000.0,29,13,2,1,3,1,1,0,3,0,0,2,2,1
14,47.531184091528985,59.63082746848566,206.8846153846154,178541423076.92307,26,8,2,4,0,1,5,0,1,1,2,1,0,1
15,20.269660353434897,49.90119264360935,225.75,194822250000.0,24,8,3,1,2,2,1,0,0,4,1,0,0,2
16,9.61982775309001,32.29049640056045,191.42857142857142,165202857142.85715,28,11,2,0,3,1,4,2,1,1,2,0,0,1
17,7.489491669153939,43.765548394077506,233.3913043478261,201416695652.17392,23,4,3,2,3,3,2,1,1,0,1,1,0,2
18,6.351461809913519,33.02490018461352,243.77272727272728,210375863636.36365,22,4,2,3,1,3,1,2,1,3,0,0,1,1
19,41.04652618371522,59.16174554479622,222.45833333333334,191981541666.6667,24,8,1,2,0,3,1,3,1,1,0,3,0,1
20,11.97327731651859,51.987833176672005,224.375,193635625000.0,24,8,1,1,3,2,2,1,0,0,2,2,1,1
21,29.264367336568302,45.88863677422911,226.04166666666666,195073958333.3333,24,6,2,1,5,1,0,2,2,1,0,1,3,0
22,43.95289947967274,41.94762438061815,224.91666666666666,194103083333.3333,24,10,1,1,2,1,1,2,2,0,0,1,0,3
23,13.67143071014161,41.316830973916026,173.61290322580646,149827935483.87097,31,11,3,2,3,4,1,2,1,1,1,0,1,1
24,18.260102498042954,59.25774636692039,233.0,201079000000.0,23,9,1,0,2,1,1,0,3,3,1,0,1,1
25,34.82941072738165,58.357811604661336,244.63636363636363,211121181818.18182,22,14,1,0,0,1,1,0,0,0,0,0,0,5
26,33.567912786639155,30.457609936735114,267.8,231111400000.0,20,5,1,3,0,1,1,2,2,0,1,1,0,3
27,-2.20658041539234,26.81667027603625,207.1153846153846,178740576923.07693,26,8,2,2,1,4,2,2,1,0,2,1,0,1
28,36.07182218520094,45.18723088866129,197.66666666666666,170586333333.3333,27,8,3,2,3,0,3,2,0,3,2,1,0,0
29,23.277235722038174,30.698247523821454,184.41379310344828,159149103448.27588,29,11,4,2,0,3,2,1,0,2,0,1,1,2
30,16.82733774217935,26.97985740309554,232.34782608695653,200516173913.0435,23,4,3,2,1,2,3,2,1,3,1,1,0,0
31,22.710797825324693,41.53579746481401,208.0,179504000000.0,26,11,1,1,2,2,0,1,2,2,0,1,1,2
32,1.662852352616802,31.936944332203627,234.2173913043478,202129608695.65216,23,8,0,2,2,3,0,0,1,2,1,1,2,1
33,27.99002897035828,41.169472213489996,208.65384615384616,180068269230.76923,26,11,2,1,1,1,1,3,1,1,0,1,2,1
34,25.731026629761704,56.24523943790276,207.84615384615384,179371230769.23077,26,11,2,2,1,1,1,1,3,2,1,0,0,1
35,40.953394059133075,36.76386513476656,283.42105263157896,244592368421.05264,19,3,1,1,1,4,3,0,2,0,0,1,1,2
36,36.65582159191225,26.714732157421324,206.1153846153846,177877576923.07693,26,12,2,1,2,0,1,2,0,0,1,2,1,2
37,19.382981763002235,43.817383805156545,225.41666666666666,194534583333.3333,24,12,1,0,0,1,1,3,1,1,0,2,0,2
38,7.642865544989657,51.87144035468854,199.44444444444446,172120555555.55557,27,12,0,3,0,3,2,0,1,1,0,2,2,1
39,10.733780681319548,26.66718712086555,280.57894736842104,242139631578.94736,19,4,0,0,1,2,4,2,2,1,1,0,0,2
40,44.35218065021738,55.65337137975756,174.61290322580646,150690935483.87097,31,14,2,3,1,2,3,1,0,0,3,0,1,1
41,6.926035479745993,32.300400835566826,207.69230769230768,179238461538.46152,26,8,2,3,1,1,1,3,2,4,0,0,0,1
42,22.52030444611332,36.61847372182431,187.79310344827587,162065448275.8621,29,16,0,1,0,1,3,0,3,2,0,0,0,3
43,25.94580691980475,42.65310575984728,227.20833333333334,196080791666.6667,24,13,0,1,2,1,1,0,0,2,0,0,0,4
44,19.96676775712974,48.0245798591109,247.0,213161000000.0,22,5,2,3,0,2,2,0,2,2,0,1,1,2
45,5.831188866936172,48.53917076594979,235.08695652173913,202880043478.26086,23,8,1,2,1,1,4,1,1,0,0,0,2,2
46,27.24905669482226,53.64432553034153,235.43478260869566,203180217391.30435,23,9,2,0,2,0,0,4,0,1,0,1,2,2
47,25.404499385134326,31.085882049898636,213.76,184474880000.0,25,8,1,0,1,4,1,2,4,4,0,0,0,0
48,13.644025750003912,56.43754056236877,217.08,187340040000.0,25,13,1,3,0,1,0,2,0,0,0,1,1,3
49,4.716374359665092,26.51223452039677,215.48,185959240000.0,25,12,0,2,0,0,3,1,1,2,1,0,0,3
50,44.36767522430141,31.229939402748766,172.74193548387098,149076290322.58066,31,11,5,1,3,1,3,1,2,1,0,2,0,1
51,39.43979134400363,37.23966332913325,193.46428571428572,166959678571.4286,28,12,1,2,1,4,1,0,2,0,2,0,1,2
52,7.100187687145976,58.91217523385859,185.24137931034483,159863310344.82758,29,11,2,1,3,3,0,2,3,1,2,0,0,1
53,22.47746833649784,28.58210697733545,178.43333333333334,153987966666.66666,30,16,0,0,2,3,1,1,0,1,2,3,1,0
54,44.72191639759532,37.59159710068967,258.3809523809524,222982761904.76193,21,4,1,4,2,2,1,0,0,1,4,0,1,1
55,29.749772896942396,29.610682455437107,215.64,186097320000.0,25,11,2,1,0,1,1,0,1,2,2,2,0,2
56,24.851946453631715,30.873772365029033,221.83333333333334,191442166666.6667,24,6,2,1,2,2,4,1,3,1,0,1,1,0
57,-6.418363147914115,40.175072833112715,198.96296296296296,171705037037.03705,27,10,0,3,3,1,1,2,1,4,0,0,1,1
58,44.899465527415465,26.767025072333766,204.84615384615384,176782230769.23077,26,12,3,1,0,2,0,2,1,1,0,0,1,3
59,-1.813445844536686,54.13351494188532,206.73076923076923,178408653846.15384,26,7,0,1,4,4,3,2,1,3,1,0,0,0
60,4.203604153841186,26.749413400322307,205.30769230769232,177180538461.53848,26,7,3,2,2,2,1,4,1,1,1,1,0,1
61,45.38178337389721,35.2191867371093,258.2857142857143,222900571428.5714,21,6,2,0,1,0,3,2,2,0,2,1,1,1
62,11.78825575298198,31.217771177515193,184.82758620689654,159506206896.55173,29,11,3,0,5,2,1,0,0,2,2,1,0,2
63,31.313497452851017,29.718122500307217,243.77272727272728,210375863636.36365,22,7,0,1,4,1,2,1,1,0,1,0,1,3
64,36.19342381334224,28.70069132704643,213.52,184267760000.0,25,8,2,0,3,2,2,3,0,1,1,0,1,2
65,17.921036270089598,47.69496230161209,200.74074074074073,173239259259.25925,27,14,1,3,0,3,0,1,1,0,0,1,0,3
66,24.663458081848464,52.99098588245679,236.08695652173913,203743043478.26086,23,7,0,2,3,0,3,1,3,1,0,1,0,2
67,32.105189108216706,30.843584423999683,269.95,232966850000.0,20,7,1,1,0,2,0,1,1,0,2,1,2,2
68,14.952525848689593,30.18489475995253,204.92307692307693,176848615384.6154,26,10,0,3,2,2,1,0,3,0,2,2,1,0
69,17.482747974218448,43.496006443164255,245.0,211435000000.0,22,7,2,2,0,0,2,2,3,0,2,0,0,2
70,28.30819612341658,57.48454540454409,223.625,192988375000.0,24,8,1,3,1,1,1,1,2,1,2,2,1,0
71,24.228789870619877,30.18643081150278,189.28571428571428,163353571428.5714,28,12,4,1,0,3,1,0,1,1,1,1,1,2
72,26.93359146045256,39.07056425613157,186.3793103448276,160845344827.5862,29,11,2,0,3,2,1,3,4,1,1,1,0,0
73,15.360176614663455,27.6500380535479,185.44827586206895,160041862068.9655,29,9,2,4,1,4,1,2,2,1,1,2,0,0
74,-4.43359146160503,39.070564254119255,200.03703703703704,172631962962.96295,27,16,1,1,0,1,4,0,0,0,0,0,1,3
75,3.377583856249839,36.14433476394468,212.64,183508320000.0,25,12,1,0,1,0,3,3,0,1,0,0,1,3
76,41.25418746650503,26.71923595037751,205.34615384615384,177213730769.23077,26,12,1,1,1,3,1,0,1,1,1,2,0,2
77,-7.624857435869572,26.700783849450804,185.68965517241378,160250172413.7931,29,10,2,1,4,2,2,3,3,0,0,0,1,1
78,41.19748208736354,59.6887787724027,223.875,193204125000.0,24,7,1,1,3,1,2,3,2,1,2,0,0,1
79,38.881963649631125,38.788915353002025,201.62962962962962,174006370370.37036,27,10,3,1,2,1,1,1,3,0,1,2,0,2
80,20.49967862979895,42.91891336870234,206.80769230769232,178475038461.53848,26,8,3,1,2,2,2,0,3,3,0,1,0,1
81,-3.445806918537977,42.65310576188581,199.25925925925927,171960740740.74075,27,12,0,1,2,1,3,1,3,1,1,0,0,2
82,46.78421243791289,49.68602555814992,268.5,231715500000.0,20,5,0,2,2,1,2,2,1,0,0,2,2,1
83,22.898614032296194,54.580784092190775,257.3333333333333,222078666666.66666,21,7,0,1,1,0,2,3,1,2,1,1,1,1
84,17.123743843049994,39.31458758824096,215.12,185648560000.0,25,9,3,3,0,2,1,1,1,0,1,0,0,4
85,27.57102618633639,41.89951431583906,207.19230769230768,178806961538.46152,26,9,1,2,3,1,3,2,0,1,0,1,1,2
86,10.699044344095384,33.497198564249075,225.25,194390750000.0,24,8,3,2,0,2,0,2,0,0,4,1,0,2
87,9.149950737440987,50.301061574654895,216.24,186615120000.0,25,10,1,1,2,0,2,1,2,0,3,1,1,1
88,38.81307685477476,52.528639212313365,244.13636363636363,210689681818.18182,22,7,3,0,1,1,2,2,1,2,0,0,0,3
89,4.605166163822989,27.934112624292812,206.53846153846155,178242692307.69232,26,9,0,3,3,2,2,0,2,1,2,1,0,1
90,8.61473112139751,46.87958216804768,255.9047619047619,220845809523.8095,21,5,1,1,2,4,2,0,0,0,2,1,1,2
91,4.568650053786872,28.406504987722908,245.45454545454547,211827272727.27274,22,7,1,1,2,1,1,1,1,1,2,2,2,0
92,27.859872671508615,49.70671100025712,206.57692307692307,178275884615.3846,26,10,0,4,2,2,0,1,1,2,1,0,1,2
93,45.69375335885845,40.64507664069198,199.2962962962963,171992703703.7037,27,10,3,1,2,2,2,1,1,1,0,1,2,1
94,47.67685144018929,32.74052172671005,245.0909090909091,211513454545.45456,22,5,4,0,1,1,3,0,2,3,1,1,0,1
95,9.016271578495513,34.8769387513406,235.17391304347825,202955086956.52173,23,7,0,1,2,2,4,0,2,1,2,1,1,0
96,33.04739961499135,38.4611119816671,232.1304347826087,200328565217.3913,23,9,1,2,2,1,1,0,1,1,0,2,1,2
97,-0.056635175143808,47.61758023491509,242.5,209277500000.0,22,9,1,0,1,0,3,1,1,0,0,1,4,1
98,21.001262283805033,28.858213708296805,205.26923076923077,177147346153.84616,26,10,0,0,2,2,4,2,1,3,1,1,0,0
99,9.88187508078397,49.03937742130214,214.4,185027200000.0,25,8,2,1,1,4,2,0,2,1,2,1,0,1
100,18.468590174472713,51.91946644190744,244.4090909090909,210925045454.54544,22,8,1,1,0,2,3,0,2,0,0,1,1,3
101,4.684531232944735,46.75986980133618,207.30769230769232,178906538461.53848,26,12,1,0,1,0,5,1,1,0,0,2,0,3
102,31.84128284797365,40.24308248814455,185.48275862068965,160071620689.65518,29,11,1,4,1,3,1,1,3,2,0,0,1,1
103,1.975529448015567,47.34348968840058,224.08333333333334,193383916666.6667,24,7,2,2,2,2,1,1,1,2,1,1,1,1
104,7.882351251156133,35.45113248161987,255.76190476190476,220722523809.5238,21,5,4,0,0,1,2,1,1,0,3,4,0,0
105,30.429712033989237,57.81665206022096,296.44444444444446,255831555555.55557,18,1,2,4,1,0,1,2,2,0,2,1,1,1
106,37.72097655009051,32.11683099369537,191.71428571428572,165449428571.4286,28,10,4,2,2,2,2,1,0,0,0,3,0,2
107,25.234851166022484,27.03016449501959,213.2,183991600000.0,25,6,2,2,2,2,3,3,1,0,3,0,1,0
108,26.48560171484219,45.018551554367946,258.3809523809524,222982761904.76193,21,7,2,1,0,0,4,1,0,0,2,0,2,2
109,8.375416178358462,60.926806366433034,200.37037037037038,172919629629.62964,27,9,2,1,3,5,0,1,1,1,1,1,0,2
110,26.72336930348677,54.35562306245799,223.25,192664750000.0,24,9,1,1,3,0,2,2,1,1,0,2,0,2
111,43.35505510372677,26.821709022983118,179.5,154908500000.0,30,12,2,3,2,1,4,0,2,1,1,0,1,1
112,0.756815683255695,34.984956735573164,245.04545454545453,211474227272.72726,22,6,1,2,1,4,2,1,0,0,1,0,1,3
113,46.41051670185894,35.005436682357434,226.25,195253750000.0,24,9,1,3,0,2,1,0,3,1,1,1,0,2
114,8.095688831391529,29.457515734324648,208.92307692307693,180300615384.6154,26,8,1,1,4,3,1,2,1,1,2,1,0,1
115,28.10346115524574,41.64272804975273,179.36666666666667,154793433333.33334,30,14,0,2,1,0,3,4,0,4,1,1,0,0
116,24.73120587690697,57.578458592083244,243.3181818181818,209983590909.0909,22,6,1,2,2,2,0,3,3,0,0,1,0,2
117,6.646226527486647,27.431585405579277,256.7142857142857,221544428571.4286,21,7,1,0,2,0,2,1,0,3,3,1,0,1
118,29.211805627099245,51.292944784893294,257.42857142857144,222160857142.85715,21,7,1,1,0,1,3,2,1,0,0,1,1,3
119,33.08435657464076,47.34304260655575,235.34782608695653,203105173913.0435,23,9,1,2,2,2,1,0,1,0,2,0,1,2
120,-2.994932165472498,34.64344638949718,244.4090909090909,210925045454.54544,22,6,1,1,1,3,1,2,3,0,1,2,1,0
121,27.30896062750114,52.04113439612309,234.3913043478261,202279695652.17392,23,8,2,1,0,3,2,0,1,1,1,1,0,3
122,43.87956910481226,58.39598302418405,224.83333333333334,194031166666.6667,24,8,2,1,2,0,2,1,2,1,4,0,1,0
123,40.161413589130945,29.802783527403022,199.11111111111111,171832888888.8889,27,10,3,2,0,0,0,3,6,1,0,1,1,0
124,26.84586635417613,52.73989519447661,233.2608695652174,201304130434.78262,23,5,0,5,2,3,2,0,0,1,2,2,0,1
125,36.324816241966765,29.164965971723436,242.77272727272728,209512863636.36365,22,3,1,2,3,3,3,1,0,3,1,2,0,0
126,37.487102723852516,39.70124964672374,242.86363636363637,209591318181.81818,22,7,1,1,0,1,2,3,3,0,1,1,1,1
127,36.71159729752645,40.76600721433636,243.6818181818182,210297409090.9091,22,5,1,1,1,2,3,4,1,1,1,1,1,0
128,2.673813559599715,47.087999461339585,244.63636363636363,211121181818.18182,22,7,2,2,0,2,2,0,2,0,1,1,1,2
129,5.175057293574149,48.35408989484148,199.14814814814815,171864851851.85187,27,12,0,1,2,2,2,2,2,0,1,1,0,2
130,-5.270012722090239,40.22269463570939,191.53571428571428,165295321428.5714,28,13,3,1,0,0,2,2,1,2,0,1,0,3
131,32.97999055281492,40.15632414349662,207.34615384615384,178939730769.23077,26,9,2,2,2,1,1,2,2,1,1,1,1,1
132,33.04739961499135,38.4611119816671,214.48,185096240000.0,25,10,2,1,1,0,0,4,2,1,2,0,1,1
133,-3.967050584466393,28.40064420517096,215.4,185890200000.0,25,8,4,1,0,2,1,4,1,0,1,1,0,2
134,36.862662135028,31.023990768808016,224.29166666666666,193563708333.3333,24,8,2,2,2,1,2,2,0,0,0,1,1,3
135,16.131360042081372,50.12393009352356,256.3809523809524,221256761904.76193,21,7,0,1,2,3,0,0,2,0,1,3,1,1
136,11.250000000073381,62.04364518619769,183.75862068965517,158583689655.17242,29,11,3,1,2,1,4,1,1,1,0,2,2,0
137,47.43698300005275,36.034462520251374,198.40740740740742,171225592592.5926,27,11,2,1,0,4,1,1,2,2,1,0,1,1
138,5.283864844651156,59.99463653109418,191.67857142857142,165418607142.85715,28,12,3,1,2,1,4,0,1,1,0,1,0,2
139,32.529682544470404,28.405440675706775,202.07407407407408,174389925925.92593,27,7,3,4,1,2,1,2,4,1,0,1,0,1
140,12.842966477716825,30.003487004360444,231.34782608695653,199653173913.0435,23,8,2,2,0,3,0,0,1,3,1,1,0,2
141,5.072532800478718,59.448682229533055,215.24,185752120000.0,25,8,0,3,3,2,0,1,2,4,0,0,2,0
142,44.08792002560371,48.88122144307676,213.6,184336800000.0,25,10,0,4,2,1,1,2,0,1,1,0,1,2
143,1.553118311527175,28.383651854736613,185.51724137931035,160101379310.34482,29,13,1,2,2,2,0,2,1,2,1,1,1,1
144,2.983450838860255,39.873477890999624,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,42.440356758663015,51.76202658311657,192.10714285714286,165788464285.7143,28,15,2,0,0,2,1,2,1,1,0,0,0,4
146,40.97237414696939,33.811772327858634,207.26923076923077,178873346153.84616,26,9,2,0,2,3,2,3,0,1,1,2,1,0
147,45.5350005349218,28.564475137452188,215.2,185717600000.0,25,11,2,0,1,0,2,1,2,1,2,0,0,3
148,-2.985054526825728,31.558084809013504,215.2,185717600000.0,25,7,2,4,1,2,1,0,1,2,3,2,0,0
149,32.67341029768761,31.029330006320933,198.44444444444446,171257555555.55557,27,10,0,2,2,3,2,3,1,1,0,0,3,0
150,24.775472560575558,30.40087357845189,243.5909090909091,210218954545.45456,22,6,1,1,1,2,2,2,4,0,0,1,1,1
151,-2.257065043583919,33.4902224551144,233.17391304347825,201229086956.52173,23,5,3,2,2,2,1,1,2,0,2,0,3,0
152,42.32699185414327,53.67350429360223,246.4090909090909,212651045454.54544,22,5,2,3,1,0,2,2,1,2,1,1,0,2
153,-0.835546270260508,38.24824446065858,255.0952380952381,220147190476.1905,21,8,1,0,0,0,2,2,2,1,1,1,1,2
154,0.64944749581188,47.37222594772433,215.2,185717600000.0,25,10,1,2,2,1,2,0,1,0,1,2,1,2
155,8.171596709976631,27.13891164175025,265.4,229040199999.99997,20,4,2,1,1,1,2,3,1,2,0,1,1,1
156,-6.191074836250995,39.22885776254026,222.45833333333334,191981541666.6667,24,9,1,2,0,2,1,4,0,0,0,3,1,1
157,36.363714343022245,53.155289089571596,244.72727272727272,211199636363.63635,22,7,2,1,2,2,3,0,0,1,0,1,0,3
158,41.84551980444768,28.544863001895163,204.34615384615384,176350730769.23077,26,9,2,1,1,2,2,4,0,1,2,0,2,0
159,25.15630711449852,26.553940776379907,184.20689655172413,158970551724.1379,29,11,3,1,2,2,2,2,1,1,2,1,0,1
160,22.288811543046947,27.154548214453587,242.9090909090909,209630545454.54544,22,6,2,1,1,1,2,2,2,1,1,1,1,1
161,44.3276257650953,45.524971478485405,186.3793103448276,160845344827.5862,29,16,3,0,1,3,0,1,0,0,0,0,1,4
162,13.925827667564908,31.030322830882824,214.68,185268840000.0,25,7,0,2,3,2,5,1,0,2,1,2,0,0
163,23.277235722038174,30.698247523821454,173.32258064516128,149577387096.7742,31,12,2,5,1,2,1,1,3,1,1,1,0,1
164,46.32322691129608,44.76088651339642,231.2608695652174,199578130434.78262,23,7,2,4,1,2,1,1,0,0,2,0,0,3
165,37.177935025775845,54.50397085593361,191.85714285714286,165572714285.7143,28,11,1,2,2,1,4,2,2,0,0,0,2,1
166,2.470069377394751,34.288021908540685,222.79166666666666,192269208333.3333,24,5,2,2,2,5,1,1,1,1,1,2,1,0
167,12.629741686190243,49.50706707468149,232.82608695652175,200928913043.47827,23,9,0,1,1,3,0,1,0,4,0,3,0,1
168,41.30836406657319,30.093870285907308,255.28571428571428,220311571428.5714,21,6,2,1,0,2,1,1,2,1,1,1,3,0
169,-2.656307115186005,26.55394077500399,182.0,157066000000.0,30,10,2,3,3,1,2,2,2,3,2,0,0,0
170,29.67390567030469,45.158038549734655,217.56,187754280000.0,25,10,1,2,3,0,0,1,2,1,1,2,1,1
171,25.2213424674324,50.21222250513436,233.82608695652175,201791913043.47827,23,8,1,0,3,0,3,1,3,0,0,1,0,3
172,-6.796652126841864,29.88547653962093,199.77777777777777,172408222222.22223,27,8,3,1,2,3,1,2,2,3,1,1,0,0
173,36.53528489134286,33.48894286269376,215.8,186235400000.0,25,9,1,1,2,3,1,1,1,0,2,2,1,1
174,-1.583970014080221,29.238768099285608,185.20689655172413,159833551724.1379,29,9,1,4,1,4,4,3,2,0,0,0,0,1
175,42.03005257055399,52.61089396981446,223.70833333333334,193060291666.6667,24,8,0,3,1,2,3,1,1,1,3,0,0,1
176,25.50266398487512,60.93033077129052,235.2173913043478,202992608695.65216,23,7,1,2,1,1,3,2,1,0,2,2,0,1
177,27.184761762490577,29.553901849642703,223.83333333333334,193168166666.6667,24,7,1,2,0,3,4,3,0,0,2,1,0,1
178,11.800721849118961,59.414541050674885,184.55172413793105,159268137931.0345,29,18,0,1,1,0,1,0,2,0,0,0,3,3
179,21.48143016370772,49.00274407930861,215.96,186373480000.0,25,8,2,1,2,4,1,1,2,1,0,0,2,1
180,42.625178670370595,46.030128596847916,268.2,231456600000.0,20,6,1,2,1,0,3,0,0,0,2,3,0,2
181,47.637487171601606,35.23782992254032,197.96296296296296,170842037037.03705,27,10,2,2,2,2,1,0,3,0,1,3,1,0
182,44.499232976781286,44.761734364631785,223.0,192449000000.0,24,10,2,3,1,0,1,0,1,0,1,1,1,3
183,32.9673385171008,28.121888933771274,173.2258064516129,149493870967.74194,31,16,1,2,0,3,1,1,1,3,0,1,0,2
184,36.491711620579615,27.938880199917378,205.8846153846154,177678423076.92307,26,10,3,1,0,1,1,2,2,2,1,2,0,1
185,23.791108083252166,44.102205550630764,245.36363636363637,211748818181.81818,22,9,0,2,0,2,1,2,0,0,1,0,3,2
186,1.206881090059368,44.097511246102655,172.25806451612902,148658709677.41934,31,13,2,2,3,3,2,2,0,0,1,0,1,2
187,-2.670669415133427,38.9060403529101,255.76190476190476,220722523809.5238,21,5,1,0,2,3,1,4,0,2,1,0,1,1
188,-2.922744172894407,37.246701173922595,224.66666666666666,193887333333.3333,24,7,0,2,1,1,4,4,1,1,2,1,0,0
189,-1.525463321113037,38.938442411870064,285.05263157894734,246000421052.63156,19,5,1,1,1,2,0,1,1,1,1,2,2,1
190,46.04182915668344,39.08363266809784,214.52,185130760000.0,25,11,0,0,2,2,3,2,0,1,0,2,0,2
191,21.443434278665098,45.03235354711101,225.16666666666666,194318833333.3333,24,9,1,2,0,0,4,2,1,1,1,0,1,2
192,39.38341164352449,48.62930049672269,225.0,194175000000.0,24,8,3,1,2,1,0,0,2,3,1,1,1,1
193,23.068304433834328,56.04405771187363,214.76,185337880000.0,25,7,3,3,1,1,3,2,1,0,0,1,2,1
194,7.374420710351253,34.3443577180173,246.0909090909091,212376454545.45456,22,7,1,2,1,1,1,1,2,2,0,1,1,2
195,45.35987073239113,36.46949692749918,282.0,243366000000.0,19,4,1,0,2,1,3,1,0,2,2,0,2,1
196,11.875872479794463,43.595639044106164,224.33333333333334,193599666666.6667,24,12,1,0,0,2,2,1,0,0,1,1,2,2
197,22.86151678452786,31.42332060532067,206.42307692307693,178143115384.6154,26,8,1,3,2,0,5,1,2,2,0,0,2,0
198,23.1240072409986,43.87301607072885,246.8181818181818,213004090909.0909,22,7,1,1,2,2,1,1,1,1,1,2,0,2
199,12.720306932879284,52.79486298117454,267.75,231068250000.0,20,4,3,1,0,3,0,1,3,0,0,2,2,1
