trial,starting x,starting y,average empire area
0,1.661908654,27.43270856,136.5128205
1,-7.99983854,32.89765167,134.525
2,-7.531526944,33.17402363,109.4897959
3,44.72978465,38.83639924,97.92727273
4,29.34571037,27.72409779,109.122449
5,36.98101596,38.29883404,105.8039216
6,36.96575527,52.86609786,117.6304348
7,30.44577301,39.37410234,108.5918367
8,-2.665663268,32.76140961,99.33333333
9,35.80234842,53.99105163,118.6888889
10,22.63311685,41.06840215,93.21052632
11,36.67606119,39.06580974,117.173913
12,22.52147643,50.66013032,94.1754386
13,37.2814618,32.42028452,109.4897959
14,20.69042073,39.89517757,95.21052632
15,-3.350125929,55.69038871,86.37096774
16,0.845388507,42.46911533,73.97222222
17,-5.060757782,57.730407,127.2857143
18,45.59505996,49.82631127,119.6888889
19,40.81066736,39.24962397,153.1142857
20,-6.502386004,52.45126509,113.9787234
21,-3.011572273,51.1414078,89.28333333
22,35.85544373,54.53812211,113.1666667
23,28.58512622,51.54560083,137.2564103
24,14.14351884,37.92758223,84.19047619
25,41.7519839,51.54044678,119.3555556
26,11.7422211,58.63421772,106.66
27,45.31933977,54.47163421,100.9811321
28,44.16522138,55.1317592,130.9512195
29,5.69076893,49.94521345,111.3125
30,46.64244102,37.96095666,125.9534884
31,24.01222872,28.76423891,109.5306122
32,47.54480078,31.05084064,97.03636364
33,14.12458382,60.92680636,105.3529412
34,39.75482451,50.83300519,100.0925926
35,-5.428401711,33.32427591,133.9
36,27.76352336,61.8384217,90.59322034
37,40.63747966,49.11997442,119.8222222
38,11.25,49.34134358,103.5769231
39,34.20643458,49.61139316,135.25
40,41.61714677,31.01281198,114.6595745
41,-2.993558292,43.37217311,81.89230769
42,10.58092069,47.77347337,149.3333333
43,41.03780829,30.86989582,100.3773585
44,-2.793806547,42.43116395,106.72
45,19.16094725,51.72013434,97.89090909
46,12.02572598,55.29531561,128.5
47,29.58691087,38.22550298,92.36206897
48,-4.052157161,28.87458042,93.10526316
49,3.878771408,47.9661407,113.4468085
50,41.12996123,27.94565752,98.21818182
51,15.89369601,38.31317692,98.16666667
52,21.53309011,29.08443789,90.3220339
53,46.89802617,32.17380611,120.5555556
54,21.87978826,43.87087682,105.2745098
55,12.97096282,60.92491626,87.37704918
56,47.0260464,36.37461246,122.7954545
57,6.834803339,34.15157974,107.08
58,3.035686784,34.05033181,99.62962963
59,29.70280034,38.69821347,88
60,9.050127999,33.50093825,102.1346154
61,46.86311325,26.38086939,101.7169811
62,13.11933578,43.31761779,89.73333333
63,16.37242343,60.1838594,90.22033898
64,9.220109458,48.42940892,107.46
65,21.59443462,38.03212838,128.2619048
66,1.05360474,32.63632135,97.98181818
67,12.47429084,42.07526915,121.3409091
68,2.997524904,44.75080709,109.2653061
69,28.00386578,28.5420923,93.8245614
70,28.91836315,40.17507283,115.8695652
71,39.49839725,49.16734651,127.5714286
72,41.54110111,45.48314304,149.9722222
73,46.95760699,39.64935355,135.65
74,22.06730859,29.30874211,118.6
75,41.89410082,54.51954515,88.09836066
76,36.15537506,30.39281374,119.0888889
77,34.01137708,30.16901806,113.4893617
78,18.78434072,44.02593036,102.6538462
79,19.79513853,42.20431199,106.42
80,-7.440789987,39.64362571,113.7446809
81,30.42971203,57.81665206,125.1860465
82,43.77133243,42.71368037,120.3111111
83,36.23155102,27.0125225,96.01785714
84,-2.055520238,38.68963465,113.8723404
85,-6.814239169,39.43772639,96.83636364
86,38.01145875,33.04736972,103.3461538
87,3.238802072,47.76378267,111.2708333
88,47.19609231,30.15306809,120.3777778
89,16.00637704,62.02777154,119.0666667
90,15.95062634,29.30408804,94.07017544
91,11.98014597,52.45864452,138.8205128
92,3.517897444,28.88097132,118.8444444
93,45.37377844,28.11475157,122.9318182
94,30.69594008,52.85290985,95.24561404
95,-5.756009756,37.34205334,97.67272727
96,38.54067695,44.92089408,111.8958333
97,-2.503466841,41.02870741,121.4090909
98,8.810331493,56.90013402,101.9433962
99,23.27212095,27.11946976,115.9347826
100,-1.199239757,43.63463889,78.88235294
101,-2.985054527,31.55808481,128.0238095
102,24.93290586,43.61607719,111.1666667
103,8.937382497,55.01575071,105.3529412
104,-0.510533854,28.80290582,121.3181818
105,39.62691366,33.05058696,153.3142857
106,29.74011677,36.53954923,106.36
107,18.41616455,28.17203756,101.7169811
108,1.847661919,34.99143832,112.0416667
109,23.35053209,41.76464872,91.3559322
110,14.450427,30.84322514,95.78571429
111,46.08927026,54.65511452,140.0789474
112,35.60767678,51.21490632,98.16363636
113,30.29694464,47.03064304,126.0697674
114,11.25,42.3759811,85.93548387
115,23.86362888,38.00216426,96.58181818
116,45.05610303,27.21604828,141.3684211
117,11.25,49.80923077,94.73214286
118,40.30983255,30.26340121,103.3269231
119,38.27334498,60.93276624,114.4468085
120,-8.11227149,33.36638282,99.53703704
121,20.82458208,52.70647273,99.57407407
122,47.09548913,60.49705885,119.8666667
123,-8.351714591,32.15158325,90.16949153
124,34.9585801,50.95631154,111.8958333
125,-4.17329302,54.89536699,99
126,26.67329302,54.89536699,100.8333333
127,34.60844732,55.6501083,148.9444444
128,-9.800592785,27.46746567,109.3469388
129,12.30103804,28.79407064,104.4509804
130,20.19065893,40.58594645,111.4791667
131,45.51962855,54.9903585,97.34545455
132,14.30833927,42.08009801,102.5769231
133,41.13763573,34.27472312,109.0408163
134,5.646029509,35.60361553,125.5581395
135,9.719453197,54.6854406,101.2264151
136,27.42464944,46.18421196,153.2857143
137,46.0246691,34.0921115,107.38
138,-6.049218765,28.74333495,93.05172414
139,41.15806286,48.81323884,114.5531915
140,-6.830595995,54.46915066,104.1960784
141,35.93377902,27.77269407,106.64
142,30.32313826,38.90163418,115.2765957
143,13.80723555,45.01968273,108.6938776
144,19.3953148,48.70091949,112.0416667
145,24.47532683,28.50488917,137.1794872
146,13.42980692,59.77489608,112.4375
147,46.82412371,34.66728168,147.4594595
148,-4.30258639,57.97217212,127.5714286
149,46.15002843,56.5414769,122.7727273
150,41.46016706,39.39636348,101.8490566
151,29.62693826,50.58163019,106.4705882
152,36.83941471,32.72202674,95.91071429
153,11.25,31.84043697,85
154,14.43781032,44.86060728,90.71186441
155,39.38311107,35.53222653,138.025641
156,33.530943,38.17696873,123.5348837
157,4.159128045,33.56645433,133.575
158,9.644542734,59.3976279,92.36206897
159,27.39898376,58.82204177,84.140625
160,-5.649407383,36.87424404,141.2894737
161,8.095688831,29.45751573,82.81538462
162,43.87583064,29.8638416,121.6590909
163,15.97476344,29.77063332,104.5490196
164,22.20092515,52.27810947,135.275
165,24.70658041,26.81667028,80
166,25.85012593,55.69038871,144.8648649
167,-4.13787273,29.34809188,119.0444444
168,31.75047467,51.86103028,121.2888889
169,35.09834634,53.17286955,112.6041667
170,25.39369709,42.89996179,114.4042553
171,8.975430002,60.55331919,107.54
172,30.62976702,49.60521019,116.8043478
173,-3.344634395,42.18084509,112.2083333
174,0.562596763,47.84145085,98.75925926
175,-0.912602993,38.71629125,96.50909091
176,-0.759834012,37.78006338,124.1860465
177,10.71174425,31.21777118,111.4166667
178,41.57758312,29.31877981,129.2142857
179,22.74576145,48.55998978,125.1627907
180,8.14111652,28.06813106,104.1153846
181,26.34557044,30.55959588,113.8297872
182,37.6028538,57.19823296,110.244898
183,-4.161313349,35.06120892,78.48529412
184,9.712193068,26.33734182,97.43636364
185,-4.543293283,36.93665367,104.8627451
186,21.56167712,56.47473225,83.984375
187,0.474362677,48.31222308,90.6779661
188,10.72543108,28.48670612,98.68518519
189,15.25510201,37.1134791,90.33898305
190,4.664376721,52.58213254,97.50909091
191,27.24909561,47.84236454,122.7045455
192,0.211188456,27.15454821,80.92424242
193,39.86076094,27.19438641,130.0731707
194,21.36125642,27.65922679,105.0784314
195,42.77332185,40.91391333,143.7631579
196,34.45240119,29.8786677,122.2954545
197,0.211188456,27.15454821,95.07142857
198,-0.916472537,51.36974731,119.3111111
199,34.52456232,48.8847909,84.65625
200,8.810331493,56.90013402,97.70909091
201,40.85827438,28.71725073,100.245283
202,41.16013373,46.96196528,119.9777778
203,43.66120212,27.72669898,111.9375
204,21.37535087,40.60084327,93.92982456
205,24.27346639,46.45565601,129.2619048
206,40.8268371,55.6770418,102.4528302
207,22.52147643,50.66013032,91.37288136
208,47.52106496,53.12250234,88.52459016
209,39.60119357,53.31137188,123.0681818
210,25.76543222,27.2417742,97.6
211,24.01222872,28.76423891,107.12
212,4.044339969,28.64476771,104.4509804
213,23.79871014,27.33770396,102.0384615
214,-2.793806547,42.43116395,103.2115385
215,15.68956681,53.1203591,92.5
216,38.01145875,33.04736972,124.8837209
217,-4.06462018,55.45360535,123.8604651
218,46.11127873,28.68798238,88.96666667
219,32.46656942,50.43366065,96.60714286
220,38.98793037,37.54910618,94.66666667
221,12.46638673,41.6139976,92.17241379
222,36.51631832,35.19080221,128.6666667
223,-2.820224368,48.1032743,107.44
224,47.10246917,28.48209904,118.4888889
225,42.31562176,45.60436604,108.02
226,38.06474138,48.77035298,120.9333333
227,26.63346961,37.66685985,95.28571429
228,41.72520924,58.8444866,123.0681818
229,28.58442073,43.53381938,109.2244898
230,9.06101062,33.04239207,101.4528302
231,40.27840245,26.88484522,107.58
232,2.470069377,34.28802191,92.75862069
233,8.698357954,26.41327353,87.75409836
234,42.11222666,27.77235701,137.974359
235,4.494284926,36.11440713,92.5
236,35.89161408,29.46245833,106.3
237,43.05892802,60.62389403,102.3018868
238,43.65770138,37.78881767,97.83636364
239,29.88969975,27.92099981,112.0625
240,30.05492563,53.11175889,105.4313725
241,32.26607186,41.65677831,90.3559322
242,45.14572661,37.26046229,107.12
243,43.29856726,52.50632065,93.80701754
244,2.989256166,29.11514628,121.8863636
245,40.33721487,31.96149702,109.3061224
246,16.26531065,51.5337991,114.3404255
247,-6.250360867,41.85617877,107.32
248,43.84760865,52.18437721,115.5531915
249,33.89078508,54.83392417,146.1081081
250,27.37125137,27.8650481,91.75862069
251,9.298388919,46.09988606,97.29090909
252,40.85827438,28.71725073,107.46
253,11.8892502,44.98459824,108.9387755
254,42.17625943,53.14306138,113.9361702
255,21.89066071,53.88167151,114.0638298
256,43.92351759,35.75303845,116.0869565
257,9.904233467,48.10539921,102.6981132
258,13.81420199,26.8774343,116.2608696
259,33.21274941,53.44888823,107.54
260,39.57602343,49.72691592,92.74137931
261,12.29304526,59.01737774,83.34375
262,39.33317771,55.22652904,117.7391304
263,30.06353345,31.02159461,111.8958333
264,-6.145505024,29.21559162,111.7291667
265,7.161242888,27.18178329,94.24561404
266,4.455084062,36.57963449,137.6666667
267,25.08427567,47.16239041,97.35185185
268,4.972913081,43.96151543,96.375
269,-6.340778967,30.15892822,130.3170732
270,33.91501906,55.3823205,102.0188679
271,47.35027883,27.71191304,104
272,39.33317771,55.22652904,119.8444444
273,-4.333611375,27.65924113,110.2040816
274,25.39254539,27.98121418,109.4285714
275,14.12458382,60.92680636,83.640625
276,38.73548494,30.27104825,116.6956522
277,47.3632755,47.97270521,104.1730769
278,-6.250360867,41.85617877,116.3695652
279,-7.936087828,28.1158274,94.01754386
280,22.13617665,56.81359355,105.9411765
281,21.24380186,39.66676214,101
282,46.83099676,37.16891334,104.6078431
283,28.80410143,27.52514728,130.2195122
284,25.36315061,50.67750473,114.7659574
285,34.13590745,30.63613188,101.9245283
286,46.59629259,57.57215912,102.5961538
287,8.594009823,47.34554757,101.1132075
288,15.85377347,27.43158541,111.125
289,36.98101596,38.29883404,100.3207547
290,14.82383843,51.40092918,141.4210526
291,40.48472074,43.7049097,110.5102041
292,-0.973960852,48.80367214,89.93333333
293,5.124140942,48.82241896,108.74
294,46.14508598,44.23217987,93.94736842
295,13.83888476,27.80352395,109.3265306
296,9.881875081,49.03937742,110.4081633
297,4.494284926,36.11440713,105.8627451
298,21.44965543,55.01194887,96.96428571
299,23.79871014,27.33770396,83.765625
300,-7.440789987,39.64362571,104.4705882
301,35.75323191,53.44168585,114.5957447
302,15.6867375,44.52063872,120.9318182
303,37.48710272,39.70124965,94.61403509
304,14.95252585,30.18489476,110.3469388
305,20.63265432,43.85274269,100.8490566
306,1.656620634,45.2545181,109.9387755
307,43.04627071,58.20074353,99.42592593
308,43.97662091,34.50444237,109.7346939
309,38.81634994,59.56324821,105.6666667
310,35.92480865,47.58475472,124.9534884
311,37.07827157,26.41565474,125.1627907
312,26.47312783,49.73395376,121.0454545
313,17.66396367,58.90734764,112.4375
314,2.122090887,46.40737787,108.5102041
315,39.44891382,55.76112394,105.3921569
316,2.000321369,42.91891337,100.1698113
317,-9.722249022,31.31236746,103.9607843
318,42.58853169,52.29495497,103.4230769
319,12.67938534,51.38271771,105.7647059
320,43.89471492,40.7248552,115.2340426
321,-3.714578496,26.97623393,116.826087
322,0.022531663,28.58210698,91.89655172
323,42.03005257,52.61089397,110.3469388
324,40.76063113,40.48744073,130.047619
325,33.39236873,37.70625094,125.5348837
326,2.000321369,42.91891337,106.92
327,1.334624598,30.27856951,97.29090909
328,22.00234127,40.83631288,102.8846154
329,35.01848042,30.05266026,99.53703704
330,28.72783644,54.16053337,98.63636364
331,16.5614734,30.95540213,109.7346939
332,37.0510663,28.10252678,84.46031746
333,31.28118224,54.25268994,112.9583333
334,-6.897968267,30.35637762,124.6976744
335,-1.329721285,52.75939617,95.16071429
336,11.25,26.38511545,137.6923077
337,-7.401743456,55.3277635,117.2826087
338,6.670897986,26.96152846,99.22222222
339,0.187985046,31.20131638,99.2037037
340,40.73748915,61.06467505,117
341,4.09957249,51.449249,126.255814
342,41.4706414,60.74568261,152.8571429
343,36.52589622,26.25246877,82.43076923
344,11.25,55.46506115,116.5869565
345,46.19564132,35.79949594,96.60714286
346,17.93134995,28.40650499,100.2641509
347,29.31607781,48.01736361,116.2391304
348,11.94760014,50.10984538,104.0576923
349,42.76978789,34.23612515,86.03225806
350,29.5866618,26.50394618,131.1463415
351,17.86761363,47.22725833,96.05357143
352,-1.867508463,40.80964843,101.4339623
353,-4.488315225,31.23804834,101.490566
354,45.76440853,57.39588715,107.1
355,-0.043648227,44.10763122,107.34
356,10.68791089,35.32398065,95.21428571
357,6.493622962,62.02777154,91.06779661
358,39.22108871,54.69053772,111.9166667
359,46.52722412,41.96327101,120.2222222
360,25.58013547,35.11319509,0
361,29.7712919,56.98095161,97.03636364
362,31.19091233,37.88371487,89.31666667
363,26.38851943,41.93114109,95.42857143
364,20.69042073,39.89517757,113.6808511
365,45.79472901,59.28524139,141.2894737
366,31.88262829,56.74466803,119.2888889
367,-5.933784969,35.66963451,79.43283582
368,11.88022739,44.05824303,111.2708333
369,11.81126197,60.16332358,92.32758621
370,17.37585906,48.82241897,96.5
371,1.05656572,45.03235355,94.24561404
372,-4.693366049,26.91625973,104.7647059
373,0.495498912,32.86281111,90.98305085
374,38.9638339,49.46699147,131.5609756
375,12.66647399,50.91305205,141.9473684
376,22.58924023,37.08688936,90.30508475
377,-9.142968516,26.80864938,81.39393939
378,33.23521486,55.10866063,107.88
379,11.80072185,59.41454105,105.0392157
380,-1.195070675,33.52848673,131.4634146
381,38.98793037,37.54910618,131.195122
382,12.43248284,62.0505801,114.6170213
383,44.32078324,57.54527733,124.4883721
384,42.6348166,36.73024574,118.9111111
385,14.35888348,28.06813106,119.8444444
386,37.78172408,38.93250303,126.952381
387,33.97145837,56.47356374,96.21428571
388,19.38298176,43.81738381,101.0188679
389,30.06320661,40.11626143,130.8536585
390,32.73217073,48.07623231,104.3846154
391,45.14743427,57.73200724,111.4375
392,7.338430795,58.01281042,104.0961538
393,47.44857722,46.58754702,93.03448276
394,47.99507335,60.66331408,106.0588235
395,5.737983203,34.211286,90.96610169
396,-3.385128096,39.58740857,111.5
397,45.26475382,40.97342112,120.0888889
398,36.76715895,56.41798872,110.3265306
399,5.875676308,48.07126761,124.2325581
